stage,r_target,r_prime,kernel_beta,disp_phase,theory_gamma,theory_ok,theory_reason,tail_mass_est,n_eff,post_prob,pde_error,fidelity,rho_purity,pauli_rmse,objective,feasible
coarse,0.8499999999999999,0.03,0.35,0.0,0.759081009531514,1,,1.28529064247207e-06,1.4080413094392608,0.18508357812993598,0.12203977526720199,0.9569723893788437,0.942645288233668,0.08470612356255744,0.12185469168907205,1
refine,0.8499999999999999,0.03,0.39,0.0,0.759081009531514,1,,1.199729923739845e-06,1.3786074572821656,0.18621017723990177,0.12324703829803466,0.9580809738688557,0.9450133007574892,0.0849284301923952,0.12306082812079476,1
refine,0.8499999999999999,0.03,0.42,0.0,0.759081009531514,1,,1.1373194497288353e-06,1.3580130197712545,0.18701973295533522,0.12414390117607044,0.9588737860597738,0.9467067725370986,0.08508701489879601,0.1239568814431151,1
coarse,0.8499999999999999,0.03,0.425,0.0,0.759081009531514,1,,1.1270699323828737e-06,1.354702736883716,0.18715158990002811,0.12429216049993007,0.9590026537839575,0.9469819894328295,0.08511269274455344,0.12410500891003004,1
refine,0.8499999999999999,0.03,0.4275,0.0,0.759081009531514,1,,1.1219617684909977e-06,1.3530606147562598,0.1872171830970802,0.12436613293869209,0.9590667349560651,0.9471188368017414,0.08512544697329344,0.124178915755595,1
refine,0.8499999999999999,0.03,0.43,0.0,0.759081009531514,1,,1.1168647165993306e-06,1.3514271609484598,0.18728255162507673,0.12443999582457749,0.9591305805436379,0.9472551753555581,0.08513814401941536,0.12425271327295241,1
refine,0.9299999999999998,0.03,0.35,0.0,0.7860919032162513,1,,1.3723724767711332e-06,1.419382318251183,0.1735134460733904,0.12462374449559938,0.9539627883377721,0.9391780850805972,0.08839189499758113,0.12445023104952599,1
refine,0.9299999999999998,0.03,0.39,0.0,0.7860919032162513,1,,1.2809685284720373e-06,1.3901620519026658,0.17451479310534396,0.12496437402478465,0.955104250135252,0.9415840843787289,0.0885657723223614,0.1247898592316793,1
refine,0.9299999999999998,0.03,0.42,0.0,0.7860919032162513,1,,1.2143086226545918e-06,1.369707261067114,0.17523488658630662,0.12523878830333732,0.9559212812497175,0.9433060514324528,0.08868975269587016,0.12506355341675102,1
refine,0.9299999999999998,0.03,0.4275,0.0,0.7860919032162513,1,,1.1979068057499376e-06,1.3647870135525464,0.17541059634355413,0.12530931282670776,0.9561202213373969,0.9437252358075074,0.08871977391302649,0.12513390223036422,1
refine,0.9299999999999998,0.03,0.43,0.0,0.7860919032162513,1,,1.1924633466220413e-06,1.3631640340196167,0.1754687748346209,0.12533296322247825,0.9561860581345554,0.9438639472103154,0.0887296891423677,0.12515749444764362,1
refine,0.9299999999999998,0.03,0.5,0.0,0.7860919032162513,1,,1.0450391427774264e-06,1.3211587485397513,0.17701502563166363,0.12601235034357205,0.9579311853949275,0.9475367414374993,0.08898647460098189,0.1258353353179404,1
refine,0.9299999999999998,0.03,0.505,0.0,0.7860919032162513,1,,1.03488842628785e-06,1.3184102452727517,0.1771191199286862,0.1260613053942085,0.9580484621702198,0.9477831429510479,0.08900311597158941,0.12588418627427983,1
coarse,0.8499999999999999,0.03,0.5,0.0,0.759081009531514,1,,9.788008435984707e-07,1.309178360405526,0.18901811161519666,0.12644935722837536,0.9608212192320684,0.950861705644222,0.08546822096558125,0.12626033911676016,1
refine,0.8499999999999999,0.03,0.505,0.0,0.759081009531514,1,,9.692932257943099e-07,1.3064161472982085,0.1891348048450616,0.12658745280466713,0.9609347025566755,0.95110339151691,0.08548974558910485,0.12639831799982207,1
refine,0.9299999999999998,0.03,0.58,0.0,0.7860919032162513,1,,8.889915210641419e-07,1.2811608991393546,0.17857136127533763,0.1267762527302387,0.9596861305068952,0.9512133541443093,0.08922036360960338,0.12659768136896338,1
refine,0.7699999999999999,0.03,0.35,0.0,0.7273834321572707,1,,1.1896662678312353e-06,1.3948275372203043,0.19705133845135617,0.12728568178868394,0.9602900875289284,0.9465764888008513,0.08061686198152802,0.12708863045023258,1
refine,0.8499999999999999,0.055,0.35,0.0,0.7131506112437935,1,,1.6911767143357181e-06,1.4172092950760375,0.18510174796231568,0.1282480917059362,0.9564267258510883,0.9443570325490211,0.08874624054973387,0.12806298995797388,1
coarse,0.8499999999999999,0.03,0.575,0.0,0.759081009531514,1,,8.413806065199481e-07,1.2712791399716121,0.19065932638547695,0.12841671311127395,0.9624187679638393,0.9542550655639352,0.08575769591741811,0.12822605378488847,1
refine,0.8499999999999999,0.03,0.58,0.0,0.759081009531514,1,,8.326230308552951e-07,1.269020645034295,0.19076012537911768,0.12853884913216018,0.962517179094349,0.9544632526691348,0.08577425965934847,0.12834808900678107,1
