beta,eta_err,fidelity,map_err_best_scale,map_scale_imag,map_scale_real,objective,post_prob,r_prime,r_target,status,vec_err_best_scale,vec_scale_imag,vec_scale_real
0.3,0.7460148067158038,0.7385954832442836,0.6397499202989209,0.0,1.1019103890548076,0.8778578582677047,0.2566475843055449,2.0,3.0,ok,0.5949126722804584,0.0,1.0312407791105773
0.3357894736842105,0.7365947950098429,0.7282580743518663,0.6561176473551995,0.0,1.0976771374239154,0.9024974557256915,0.2558520102173935,2.0,3.0,ok,0.6108515357656851,0.0,1.0224103450649178
0.3,0.800636138562597,0.7255155889011083,0.6600099365259648,0.0,1.1665946205673943,0.9088146589427546,0.29020829299650064,1.9105263157894739,3.0,ok,0.6150854701248276,0.0,1.0868420869255442
0.371578947368421,0.7275148074270443,0.7177409212832232,0.6727883605056486,0.0,1.090053808446833,0.9276119066979913,0.2535584693267885,2.0,3.0,ok,0.6271047725093282,0.0,1.0104412763298283
0.3357894736842105,0.7904535930525346,0.7159924131502067,0.6749898835920405,0.0,1.1627781617518522,0.9315070739299315,0.2895950025165944,1.9105263157894739,3.0,ok,0.6298117527914215,0.0,1.0785440962186974
0.3,0.8399688820617156,0.7141697107427174,0.6778323292358097,0.0,1.212410421818938,0.9358429641193065,0.3160809624928583,1.8210526315789475,3.0,ok,0.6326352850385375,0.0,1.1253511193263603
0.40736842105263155,0.718709797092088,0.7070178070120582,0.6898146912503675,0.0,1.078760299400179,0.9532889564859639,0.24964735834106389,2.0,3.0,ok,0.643732501211383,0.0,0.9951002324154029
0.371578947368421,0.7803542731465494,0.7062957449243893,0.6902654285538653,0.0,1.1557799495007275,0.9546725598868911,0.28747026473073545,1.9105263157894739,3.0,ok,0.6448546328561781,0.0,1.0672788999985248
0.3,0.8115475300787504,0.7062800829515234,0.6908890947834321,0.0,1.1014299676756587,0.9550095195936721,0.2600440267702564,2.0,2.8842105263157896,ok,0.6448789763495322,0.0,1.015079565397328
0.3357894736842105,0.830253954056973,0.7054415611048901,0.6915526606435309,0.0,1.2094579016511098,0.9566867838779445,0.31585141309173304,1.8210526315789475,3.0,ok,0.6461825316114235,0.0,1.1180470950744
0.3,0.8871944406463133,0.7050614033426713,0.691107271313259,0.0,1.2631642869990212,0.957074239437672,0.3456083174645447,1.731578947368421,3.0,ok,0.646773673948176,0.0,1.1692132479783055
0.3357894736842105,0.8781589853664363,0.6969819784914931,0.7038084764721255,0.0,1.26107259167316,0.9764164411684142,0.3458725545985973,1.731578947368421,3.0,ok,0.6593613018569262,0.0,1.162939145337709
0.371578947368421,0.8203906161240854,0.6965586268189163,0.7055420064997475,0.0,1.2035633838670325,0.9779652969679427,0.3141474207412473,1.8210526315789475,3.0,ok,0.6600222250590148,0.0,1.1079846685363839
0.40736842105263155,0.7702677486997268,0.6963928753843961,0.7058964174744988,0.0,1.1453223621407285,0.9784095943982859,0.2837047899514157,1.9105263157894739,3.0,ok,0.6602810294302561,0.0,1.0528067433194184
0.3357894736842105,0.802339300877294,0.696242653105012,0.7066814716255643,0.0,1.0997352564943224,0.9790442085189364,0.2606044905399976,2.0,2.8842105263157896,ok,0.6605156053614049,0.0,1.008926256443995
0.4431578947368421,0.7101681147830017,0.6960500209581663,0.7072718049753206,0.0,1.0635309770154244,0.9796498330466472,0.24402509655369492,2.0,3.0,ok,0.6608164316068951,0.0,0.9761704037198426
0.3,0.8649849205351363,0.6948397999788031,0.7083224828723251,0.0,1.1692710071371197,0.9821263188701893,0.2957971958826358,1.9105263157894739,2.8842105263157896,ok,0.6627070674329668,0.0,1.073810221801802
0.3,0.9448538748474188,0.6912178924869471,0.7119962184989329,0.0,1.310504194261021,0.9898097224702714,0.37522304677820273,1.6421052631578947,3.0,ok,0.6683725078451523,0.0,1.2062585445928518
0.371578947368421,0.8687914286454523,0.6887804189190392,0.7167251958653822,0.0,1.2562907479271124,0.9961151456440245,0.34471195366198804,1.731578947368421,3.0,ok,0.6721915686572855,0.0,1.154135320634961
0.40736842105263155,0.8103013251915108,0.6874869962227754,0.719859983424438,0.0,1.1944602133867794,0.9997759079785394,0.31083515402294243,1.8210526315789475,3.0,ok,0.6742202660774592,0.0,1.0949277757302744
