boundary_condition,parameter,fidelity_vs_truncated,x,median,q25,q75,count
dirichlet,r_target,0.9999999993742879,1.916666666666667,0.9999999205522989,0.9999996337280298,0.9999999691709498,36
dirichlet,r_target,0.9999999980171841,1.938331430533519,0.9999999242503305,0.9999997994043732,0.9999999770825319,36
dirichlet,r_target,0.9999999993565036,1.9666666666666668,0.9999999253906153,0.9999998664622248,0.999999977374915,36
dirichlet,r_target,0.9999999974877569,2.0,0.999999941970731,0.9999999054561013,0.9999999766152945,36
dirichlet,r_target,0.9999999959103587,5.0,0.9999972049391603,0.9999859588502062,0.999999940759707,84
dirichlet,r_target,0.9999999907413908,8.0,0.9999959867376558,0.9999827628184538,0.9999999698888967,84
dirichlet,r_target,0.999999990927902,8.16,0.9999948503768236,0.9999855015203382,0.9999999803004002,84
dirichlet,r_target,0.9999999928702996,8.3,0.9999942003431289,0.9999879237677595,0.9999999827687089,84
dirichlet,r_prime,0.9999999993742879,0.9750000000000001,0.9999999785007317,0.9999999428900073,0.9999999863527333,96
dirichlet,r_prime,0.9999999993565036,1.0,0.9999999662422333,0.9999999267580584,0.9999999820043804,96
dirichlet,r_prime,0.9999999959103587,1.05,0.9999999452645153,0.9999998120277992,0.9999999780716131,96
dirichlet,r_prime,0.9999907464373162,3.0,0.9999629281050264,0.9999466619930614,0.9999728895522286,48
dirichlet,r_prime,0.9999939710798362,4.0,0.9999874089058378,0.999986296190958,0.9999910537125563,48
dirichlet,r_prime,0.9999999640104279,4.19,0.9999895436172384,0.9999849512209212,0.999992895078579,48
dirichlet,r_prime,0.9999991216170846,4.35,0.999994753350887,0.9999859522323944,0.999997554132383,48
dirichlet,beta,0.9999999993742879,0.3,0.9999967027597068,0.999987973296318,0.9999999374196431,80
dirichlet,beta,0.9999999974877569,0.675,0.9999999206749178,0.9999877936543172,0.9999999707525133,80
dirichlet,beta,0.999999995011307,0.725,0.9999998981120659,0.9999877955232488,0.9999999715654873,80
dirichlet,beta,0.9999999898213436,0.75,0.9999998713849708,0.999987795530141,0.9999999769332786,80
dirichlet,beta,0.9999999993565036,0.8,0.9999999534822785,0.9999877955301508,0.9999999815560432,80
dirichlet,beta,0.9999999959103587,0.9,0.9999998294367772,0.9999877955301508,0.9999999848884091,80
neumann,r_target,0.9999999967520095,1.916666666666667,0.9999999334705848,0.9999995362911835,0.9999999631967134,36
neumann,r_target,0.9999999990740092,1.938331430533519,0.9999999380240262,0.9999996508890765,0.9999999609949752,36
neumann,r_target,0.9999999977070486,1.9666666666666668,0.999999916982184,0.9999997567845108,0.9999999635052513,36
neumann,r_target,0.9999999935051049,2.0,0.9999999138098534,0.9999998048036322,0.9999999530160685,36
neumann,r_target,0.9999994604212956,5.0,0.9999921338936913,0.9999807462690884,0.9999980195519136,84
neumann,r_target,0.9999999982920778,8.0,0.999990550579779,0.9999833559166971,0.9999999786424303,84
neumann,r_target,0.9999999817667612,8.16,0.9999884191200945,0.9999830432105683,0.9999999558473398,84
neumann,r_target,0.999999960702514,8.3,0.9999884099331335,0.9999803162351246,0.9999999413819867,84
neumann,r_prime,0.9999999977070486,0.9750000000000001,0.9999999385670524,0.9999996800111717,0.9999999623073001,96
neumann,r_prime,0.9999999990740092,1.0,0.9999999428453985,0.9999997721693442,0.9999999673085745,96
neumann,r_prime,0.9999999982920778,1.05,0.9999999372670888,0.9999997455967277,0.9999999656171464,96
neumann,r_prime,0.99999189276428,3.0,0.9999520486016342,0.9999219203754225,0.9999663978222609,48
neumann,r_prime,0.9999896041388048,4.0,0.9999770406131777,0.9999705750352365,0.9999882153162367,48
neumann,r_prime,0.9999889892896587,4.19,0.9999833559168134,0.9999807462690897,0.9999854020467631,48
neumann,r_prime,0.9999963727709252,4.35,0.9999869524948949,0.9999853513423425,0.999991967971611,48
neumann,beta,0.999999968170066,0.3,0.9999938201652094,0.9999804967929404,0.999999890517826,80
neumann,beta,0.9999999842944799,0.675,0.99999937629014,0.9999853978580597,0.9999999219020236,80
neumann,beta,0.999999988530226,0.725,0.9999996970482021,0.9999853977128317,0.9999999460541351,80
neumann,beta,0.9999999990740092,0.75,0.9999990973711526,0.9999853977128285,0.9999999656353329,80
neumann,beta,0.9999999977070486,0.8,0.999999934002253,0.9999853977128281,0.9999999665963979,80
neumann,beta,0.9999999982920778,0.9,0.9999992847300179,0.9999853977128288,0.9999999479376965,80
periodic,r_target,1.0000000000000004,1.916666666666667,1.0,0.9999999999999998,1.0,36
periodic,r_target,1.0000000000000004,1.938331430533519,1.0,0.9999999999999998,1.0,36
periodic,r_target,1.0000000000000004,1.9666666666666668,1.0,0.9999999999999998,1.0,36
periodic,r_target,1.0000000000000004,2.0,1.0,0.9999999999999998,1.0,36
periodic,r_target,1.0000000000000009,5.0,1.0,0.9999999999999998,1.0,84
periodic,r_target,1.0000000000000004,8.0,1.0,0.9999999999999998,1.0,84
periodic,r_target,1.0000000000000004,8.16,1.0,1.0,1.0,84
periodic,r_target,1.0000000000000004,8.3,1.0,0.9999999999999998,1.0,84
periodic,r_prime,1.0000000000000009,0.9750000000000001,1.0,0.9999999999999998,1.0,96
periodic,r_prime,1.0000000000000004,1.0,1.0,0.9999999999999998,1.0,96
periodic,r_prime,1.0000000000000004,1.05,1.0,0.9999999999999998,1.0,96
periodic,r_prime,1.0000000000000009,3.0,1.0,0.9999999999999998,1.0,48
periodic,r_prime,1.0000000000000004,4.0,1.0,1.0,1.0,48
periodic,r_prime,1.0000000000000004,4.19,1.0,0.9999999999999998,1.0,48
periodic,r_prime,1.0000000000000004,4.35,1.0,0.9999999999999998,1.0,48
periodic,beta,1.0000000000000004,0.3,1.0,0.9999999999999998,1.0,80
periodic,beta,1.0000000000000004,0.675,1.0,0.9999999999999998,1.0,80
periodic,beta,1.0000000000000009,0.725,1.0,0.9999999999999998,1.0,80
periodic,beta,1.0000000000000009,0.75,1.0,0.9999999999999998,1.0,80
periodic,beta,1.0000000000000004,0.8,1.0,0.9999999999999998,1.0,80
periodic,beta,1.0000000000000004,0.9,1.0,0.9999999999999998,1.0,80
