boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_truncated,score,source
neumann,7.9,4.0,0.3,48,100,injection,0,True,,0.9997155021219948,0.9999844862585844,0.05616263616415254,0.0168694647242059,0.003938779264716245,1.0,0.38981992771566837,1802,2504,direct_injection,,,,1.0000000000000004,0.999568667245973,,,3,1000,pde,0.23695286031896862,0.9997155021219948,0.9998577409421776,1.0,0.9999844862585844,0.9997155021219948,grid
neumann,7.9,4.35,0.3,24,100,injection,0,True,,0.9995599473437278,0.9999881526676847,0.061622842960424425,0.020982049181718303,0.0034420157867468136,1.0,0.27353411885310003,1802,2504,direct_injection,,,,1.0,0.9995058097658909,,,3,1000,pde,0.24818486187657104,0.9995599473437278,0.999779949460744,1.0,0.9999881526676847,0.9995599473437278,grid
neumann,8.1,4.1,0.6,48,100,injection,0,True,,0.9987390011281068,0.9999858605560314,0.05738008396165959,0.03553295650121024,0.0037602717847661786,1.0,0.572189676502004,1802,2504,direct_injection,,,,0.9999999999999998,0.998905379122424,,,3,1000,pde,0.23939032507708993,0.9987390011281068,0.9993693016738641,1.0,0.9999858605560314,0.9987390011281068,grid
neumann,8.1,4.1,0.5,48,100,injection,0,True,,0.9986606056317948,0.9999845385447261,0.05707878904426477,0.03662227125048475,0.003932136103175958,1.0,0.20388227544067122,1802,2504,direct_injection,,,,1.0,0.9988126689730836,,,3,1000,pde,0.23875162415295714,0.9986606056317948,0.9993300784184347,1.0,0.9999845385447261,0.9986606056317948,grid
neumann,8.1,4.1,0.675,48,100,injection,0,True,,0.998657732923855,0.9999858845506303,0.057454542384381364,0.03666157632502446,0.003757079799263955,1.0,2.2539913957958584,1802,2504,direct_injection,,,,0.9999999999999998,0.9988216750886917,,,3,1000,pde,0.23953584918288082,0.998657732923855,0.9993286411005415,1.0,0.9999858845506303,0.998657732923855,grid
neumann,8.1,4.1,0.725,48,100,injection,0,True,,0.9986568965705166,0.9999858836903543,0.05745598721689003,0.03667301163558952,0.0037571942880767167,1.0,3.876562993859677,1802,2504,direct_injection,,,,0.9999999999999996,0.998820845610703,,,3,1000,pde,0.23953876071194546,0.9986568965705166,0.9993282226428495,1.0,0.9999858836903543,0.9986568965705166,grid
neumann,8.1,4.1,0.8,48,100,injection,0,True,,0.9986568965562318,0.999985883690441,0.05745598762110946,0.03667301183087587,0.003757194276617835,1.0,0.6933937866547025,1802,2504,direct_injection,,,,1.0000000000000004,0.9988208456126039,,,3,1000,pde,0.2395387615528444,0.9986568965562318,0.9993282226357023,1.0,0.999985883690441,0.9986568965562318,grid
neumann,8.1,4.1,0.9,48,100,injection,0,True,,0.9986568965562305,0.9999858836904407,0.057455987621110406,0.03667301183089377,0.0037571942766181474,1.0,0.21672966101000946,1802,2504,direct_injection,,,,0.9999999999999998,0.9988208456126021,,,3,1000,pde,0.2395387615528462,0.9986568965562305,0.9993282226357016,1.0,0.9999858836904407,0.9986568965562305,grid
neumann,8.1,4.1,0.75,48,100,injection,0,True,,0.9986568965562167,0.9999858836904412,0.057455987621026675,0.036673011831086254,0.003757194276625723,1.0,1.6751631199095844,1802,2504,direct_injection,,,,1.0000000000000004,0.9988208456125834,,,3,1000,pde,0.23953876155267,0.9986568965562167,0.9993282226356948,1.0,0.9999858836904412,0.9986568965562167,grid
neumann,8.0,4.1,0.5,48,100,injection,0,True,,0.9985766436299267,0.9999868147287293,0.06371505635424793,0.03775427394585976,0.0036311768236659122,1.0,0.20388237584483163,1802,2504,direct_injection,,,,1.0,0.9986713202728861,,,3,1000,pde,0.2522387105955716,0.9985766436299267,0.9992880683916558,1.0,0.9999868147287293,0.9985766436299267,grid
neumann,8.16,4.1,0.8,48,100,injection,0,True,,0.9978046395031002,0.9999847723218334,0.053781204705395075,0.04690619051540105,0.0039022954850811485,1.0,0.693393698774119,1802,2504,direct_injection,,,,1.0000000000000004,0.9980150850242921,,,3,1000,pde,0.2316530499974243,0.9978046395031002,0.9989017166383789,1.0,0.9999847723218334,0.9978046395031002,grid
neumann,8.16,4.1,0.9,48,100,injection,0,True,,0.9978046395030984,0.9999847723218327,0.05378120470539532,0.04690619051541595,0.003902295485083888,1.0,0.21672963773659004,1802,2504,direct_injection,,,,0.9999999999999998,0.9980150850242904,,,3,1000,pde,0.23165304999742461,0.9978046395030984,0.998901716638378,1.0,0.9999847723218327,0.9978046395030984,grid
neumann,8.16,4.1,0.75,48,100,injection,0,True,,0.9978046395029955,0.9999847723218327,0.05378120470532212,0.04690619051652096,0.003902295485075278,1.0,1.6751630258193393,1802,2504,direct_injection,,,,1.0,0.9980150850241819,,,3,1000,pde,0.23165304999725503,0.9978046395029955,0.9989017166383265,1.0,0.9999847723218327,0.9978046395029955,grid
neumann,8.16,4.1,0.725,48,100,injection,0,True,,0.9978046389069921,0.9999847723220889,0.05378120435213896,0.04690619689764713,0.003902295452322684,1.0,3.876562888471348,1802,2504,direct_injection,,,,1.0,0.9980150844087191,,,3,1000,pde,0.23165304916743307,0.9978046389069921,0.9989017163399971,1.0,0.9999847723220889,0.9978046389069921,grid
neumann,8.16,4.1,0.675,48,100,injection,0,True,,0.9978018437521488,0.9999847743163081,0.05378001665504296,0.04693611385053686,0.003902039917353889,1.0,2.253991564067512,1802,2504,direct_injection,,,,0.9999999999999996,0.9980122784809142,,,3,1000,pde,0.23165016679342826,0.9978018437521488,0.9989003172249715,1.0,0.9999847743163081,0.9978018437521488,grid
