boundary_condition,label,n_coeff,beta,anchor_r_target,anchor_r_prime,fidelity,infidelity
dirichlet,Dirichlet,24,0.3,8.16,4.5,0.9908092419783552,0.009190758021644818
dirichlet,Dirichlet,24,0.5,8.16,4.5,0.9956815752097326,0.00431842479026745
dirichlet,Dirichlet,24,0.6,8.16,4.5,0.9955393780735428,0.004460621926457242
dirichlet,Dirichlet,24,0.675,8.16,4.5,0.99553913207515,0.004460867924850009
dirichlet,Dirichlet,24,0.725,8.16,4.5,0.9955391320751515,0.004460867924848455
dirichlet,Dirichlet,24,0.75,8.16,4.5,0.9955391320751524,0.004460867924847567
dirichlet,Dirichlet,24,0.8,8.16,4.5,0.995539132075152,0.004460867924848011
dirichlet,Dirichlet,24,0.9,8.16,4.5,0.9955391320748505,0.0044608679251495476
dirichlet,Dirichlet,48,0.3,7.9,4.1,0.9893436534309458,0.010656346569054231
dirichlet,Dirichlet,48,0.5,7.9,4.1,0.9989610514553566,0.00103894854464337
dirichlet,Dirichlet,48,0.6,7.9,4.1,0.9981116035816474,0.0018883964183525892
dirichlet,Dirichlet,48,0.675,7.9,4.1,0.9981171968279308,0.0018828031720692362
dirichlet,Dirichlet,48,0.725,7.9,4.1,0.998117519416245,0.001882480583754953
dirichlet,Dirichlet,48,0.75,7.9,4.1,0.9981175192685574,0.0018824807314425929
dirichlet,Dirichlet,48,0.8,7.9,4.1,0.9981175192684961,0.0018824807315038772
dirichlet,Dirichlet,48,0.9,7.9,4.1,0.9981175192684988,0.0018824807315012126
neumann,Neumann,24,0.3,7.9,4.35,0.9995599473437278,0.00044005265627222734
neumann,Neumann,24,0.5,7.9,4.35,0.9912592103316263,0.00874078966837366
neumann,Neumann,24,0.6,7.9,4.35,0.9915242333503677,0.008475766649632344
neumann,Neumann,24,0.675,7.9,4.35,0.9915303520000401,0.008469647999959862
neumann,Neumann,24,0.725,7.9,4.35,0.9915303520083179,0.00846964799168215
neumann,Neumann,24,0.75,7.9,4.35,0.9915303520083174,0.008469647991682594
neumann,Neumann,24,0.8,7.9,4.35,0.9915303520083176,0.008469647991682372
neumann,Neumann,24,0.9,7.9,4.35,0.9915303519899588,0.008469648010041242
neumann,Neumann,48,0.3,7.9,4.0,0.9997155021219948,0.00028449787800521875
neumann,Neumann,48,0.5,7.9,4.0,0.9824484386287662,0.017551561371233815
neumann,Neumann,48,0.6,7.9,4.0,0.9799801375511465,0.020019862448853454
neumann,Neumann,48,0.675,7.9,4.0,0.9809054255866867,0.019094574413313303
neumann,Neumann,48,0.725,7.9,4.0,0.9809613715156607,0.01903862848433935
neumann,Neumann,48,0.75,7.9,4.0,0.9809614334713277,0.019038566528672307
neumann,Neumann,48,0.8,7.9,4.0,0.9809614335151157,0.019038566484884334
neumann,Neumann,48,0.9,7.9,4.0,0.9809614335150167,0.019038566484983255
periodic,Periodic,24,0.3,8.4,4.5,0.9955893055350374,0.004410694464962561
periodic,Periodic,24,0.5,8.4,4.5,0.9990065133760963,0.0009934866239037499
periodic,Periodic,24,0.6,8.4,4.5,0.9992951149408869,0.0007048850591131472
periodic,Periodic,24,0.675,8.4,4.5,0.9992956504319663,0.0007043495680336687
periodic,Periodic,24,0.725,8.4,4.5,0.9992956504319843,0.000704349568015683
periodic,Periodic,24,0.75,8.4,4.5,0.9992956504319845,0.000704349568015461
periodic,Periodic,24,0.8,8.4,4.5,0.9992956504319843,0.000704349568015683
periodic,Periodic,24,0.9,8.4,4.5,0.9992956504310735,0.00070434956892651
periodic,Periodic,48,0.3,8.1,4.1,0.9997249405374592,0.0002750594625408054
periodic,Periodic,48,0.5,8.1,4.1,0.9903911248010744,0.009608875198925615
periodic,Periodic,48,0.6,8.1,4.1,0.9886998294433935,0.011300170556606481
periodic,Periodic,48,0.675,8.1,4.1,0.9888685383473841,0.011131461652615915
periodic,Periodic,48,0.725,8.1,4.1,0.9888755965575958,0.011124403442404174
periodic,Periodic,48,0.75,8.1,4.1,0.988875597643613,0.011124402356387009
periodic,Periodic,48,0.8,8.1,4.1,0.98887559764367,0.011124402356330054
periodic,Periodic,48,0.9,8.1,4.1,0.9888755976436735,0.011124402356326502
