n_coeff,eps_tr
2,2.586341850464e-01
3,2.550171928499e-01
4,2.341598786122e-01
5,1.434160788366e-01
6,1.353329443656e-01
7,1.345863141241e-01
8,1.213467525314e-01
9,8.775172960875e-02
10,8.611047191465e-02
11,8.589764390648e-02
12,7.698239302814e-02
13,6.096177631999e-02
14,6.068816403635e-02
15,6.061946503564e-02
16,5.428026353634e-02
17,4.572652776239e-02
18,4.571800438837e-02
19,4.569350289522e-02
20,4.100885809775e-02
21,3.615698488318e-02
22,3.612835798090e-02
23,3.611819215989e-02
24,3.255810773953e-02
25,2.970773227106e-02
26,2.959761861809e-02
27,2.959219841771e-02
28,2.682820645917e-02
29,2.511897524145e-02
30,2.493181497603e-02
31,2.492781791271e-02
32,2.274451910640e-02
33,2.170860643219e-02
34,2.146540866757e-02
35,2.146146735561e-02
36,1.971161940406e-02
37,1.908210663023e-02
38,1.880451760006e-02
39,1.879987622650e-02
40,1.737967953010e-02
41,1.699905176891e-02
42,1.670475568915e-02
43,1.669887643501e-02
44,1.553340520257e-02
45,1.530639025097e-02
46,1.500845114562e-02
47,1.500091631772e-02
48,1.403504433626e-02
49,1.390294586881e-02
50,1.361041273120e-02
51,1.360090767888e-02
52,1.279341406117e-02
53,1.271957253170e-02
54,1.243836343867e-02
55,1.242667347145e-02
56,1.174629147376e-02
57,1.170759207558e-02
58,1.144131614668e-02
59,1.142732029867e-02
60,1.085002431457e-02
61,1.083181391572e-02
62,1.058243688834e-02
63,1.056609679339e-02
64,1.007320371283e-02
65,1.006618589927e-02
66,9.834535754194e-03
67,9.815881677884e-03
68,9.392700913655e-03
69,9.391006360892e-03
70,9.177144099335e-03
71,9.156260332870e-03
72,8.791120581024e-03
73,8.791089936829e-03
74,8.594575485719e-03
75,8.571586603435e-03
76,8.255125367094e-03
77,8.254531686131e-03
78,8.074611561673e-03
79,8.049670339528e-03
80,7.774309228009e-03
81,7.771855783724e-03
82,7.607593754120e-03
83,7.580871044325e-03
84,7.340424029297e-03
85,7.335417031495e-03
86,7.185783861508e-03
87,7.157460413484e-03
88,6.946838319679e-03
89,6.938972087585e-03
90,6.802906200666e-03
91,6.773166257512e-03
92,6.588151650086e-03
93,6.577366873337e-03
94,6.453814498817e-03
95,6.422840929770e-03
96,6.259915018097e-03
97,6.246304969656e-03
98,6.134245915115e-03
99,6.102216629789e-03
100,5.958424977133e-03
101,5.942173441386e-03
102,5.840636863186e-03
103,5.807722267389e-03
104,5.680569718139e-03
105,5.661910035184e-03
106,5.569983308565e-03
107,5.536344588722e-03
108,5.423712388490e-03
109,5.402900630182e-03
110,5.319733511431e-03
111,5.285521566210e-03
112,5.185601481805e-03
113,5.162899118257e-03
114,5.087704744371e-03
115,5.053059613091e-03
116,4.964301180223e-03
117,4.939964129880e-03
118,4.872017941315e-03
119,4.837068606916e-03
120,4.758136594264e-03
121,4.732408564808e-03
122,4.671045910641e-03
123,4.635910379405e-03
124,4.565650262519e-03
125,4.538758965833e-03
126,4.483371919267e-03
127,4.448157500013e-03
128,4.385567259821e-03
129,4.357722538221e-03
130,4.307756286422e-03
131,4.272560008822e-03
132,4.216766958103e-03
133,4.188160165982e-03
134,4.143109222209e-03
135,4.108018347581e-03
136,4.058259980637e-03
137,4.029064174418e-03
138,3.988468578472e-03
139,3.953561167408e-03
140,3.909169249025e-03
141,3.879539880973e-03
142,3.842981496247e-03
143,3.808327006174e-03
144,3.768714284220e-03
145,3.738790193564e-03
146,3.705889168550e-03
147,3.671549061178e-03
148,3.636198116305e-03
149,3.606102678469e-03
150,3.576514112368e-03
151,3.542542456379e-03
152,3.510996301976e-03
153,3.480838643138e-03
154,3.454249475797e-03
155,3.420693534307e-03
156,3.392547657320e-03
157,3.362423873538e-03
158,3.338550006706e-03
159,3.305450802232e-03
160,3.280346396055e-03
161,3.250340738225e-03
162,3.228924386288e-03
163,3.196317238435e-03
164,3.173935426702e-03
165,3.144121427727e-03
166,3.124928690389e-03
167,3.092843723330e-03
168,3.072900611119e-03
169,3.043342141974e-03
170,3.026160787819e-03
171,2.994623406054e-03
172,2.976865824975e-03
173,2.947618073319e-03
174,2.932255521188e-03
175,2.901286853097e-03
176,2.885488690690e-03
177,2.856599060294e-03
178,2.842880544492e-03
179,2.812497853958e-03
180,2.798456877066e-03
181,2.769965809328e-03
182,2.757732714425e-03
183,2.727949781344e-03
184,2.715484878680e-03
185,2.687426599403e-03
186,2.676534950659e-03
187,2.647362421523e-03
188,2.636311203232e-03
189,2.608714398928e-03
190,2.599033494907e-03
191,2.570479204904e-03
192,2.560695907210e-03
193,2.533584335798e-03
194,2.524995510494e-03
195,2.497064778688e-03
196,2.488418430114e-03
197,2.461811471096e-03
198,2.454206973710e-03
199,2.426902872982e-03
200,2.419275685546e-03
